TXNAME,GENEID
lcl|CP064677.1_cds_QPD38892.1_1,thrL
lcl|CP064677.1_cds_1007,IVL04_05170
lcl|CP064677.1_cds_1017,IVL04_05220
lcl|CP064677.1_cds_1157,IVL04_05935
lcl|CP064677.1_cds_1163,IVL04_05965
lcl|CP064677.1_cds_1228,IVL04_06320
lcl|CP064677.1_cds_1246,IVL04_06410
lcl|CP064677.1_cds_1315,IVL04_06755
lcl|CP064677.1_cds_1324,IVL04_06800
lcl|CP064677.1_cds_1364,IVL04_07000
lcl|CP064677.1_cds_1365,IVL04_07005
lcl|CP064677.1_cds_1367,IVL04_07015
lcl|CP064677.1_cds_1400,IVL04_07180
lcl|CP064677.1_cds_1414,gap
lcl|CP064677.1_cds_1428,tnpA
lcl|CP064677.1_cds_1454,IVL04_07450
lcl|CP064677.1_cds_1457,IVL04_07465
lcl|CP064677.1_cds_1468,IVL04_07520
lcl|CP064677.1_cds_1504,IVL04_07700
lcl|CP064677.1_cds_1505,IVL04_07705
lcl|CP064677.1_cds_1509,IVL04_07725
lcl|CP064677.1_cds_1521,IVL04_07785
lcl|CP064677.1_cds_1543,IVL04_07895
lcl|CP064677.1_cds_1574,IVL04_08050
lcl|CP064677.1_cds_1581,IVL04_08085
lcl|CP064677.1_cds_1582,IVL04_08090
lcl|CP064677.1_cds_1583,IVL04_08095
lcl|CP064677.1_cds_1726,espL1
lcl|CP064677.1_cds_1809,yeaV
lcl|CP064677.1_cds_19,IVL04_00095
lcl|CP064677.1_cds_1940,IVL04_09910
lcl|CP064677.1_cds_1967,ompC
lcl|CP064677.1_cds_1978,IVL04_10110
lcl|CP064677.1_cds_1990,IVL04_10185
lcl|CP064677.1_cds_1992,IVL04_10195
lcl|CP064677.1_cds_20,IVL04_00100
lcl|CP064677.1_cds_2002,IVL04_10245
lcl|CP064677.1_cds_2029,IVL04_10380
lcl|CP064677.1_cds_203,IVL04_01045
lcl|CP064677.1_cds_2031,IVL04_10390
lcl|CP064677.1_cds_2085,IVL04_10660
lcl|CP064677.1_cds_2088,IVL04_10675
lcl|CP064677.1_cds_2090,IVL04_10685
lcl|CP064677.1_cds_211,IVL04_01090
lcl|CP064677.1_cds_2115,IVL04_10810
lcl|CP064677.1_cds_212,IVL04_01095
lcl|CP064677.1_cds_2121,IVL04_10840
lcl|CP064677.1_cds_2138,mdtQ
lcl|CP064677.1_cds_2190,yejO
lcl|CP064677.1_cds_2227,IVL04_11375
lcl|CP064677.1_cds_2237,IVL04_11425
lcl|CP064677.1_cds_229,IVL04_01180
lcl|CP064677.1_cds_230,IVL04_01185
lcl|CP064677.1_cds_2338,yfcU
lcl|CP064677.1_cds_2353,IVL04_12010
lcl|CP064677.1_cds_2358,IVL04_12035
lcl|CP064677.1_cds_247,IVL04_01275
lcl|CP064677.1_cds_251,IVL04_01295
lcl|CP064677.1_cds_253,IVL04_01305
lcl|CP064677.1_cds_254,IVL04_01310
lcl|CP064677.1_cds_259,IVL04_01335
lcl|CP064677.1_cds_260,IVL04_01340
lcl|CP064677.1_cds_261,IVL04_01345
lcl|CP064677.1_cds_262,IVL04_01350
lcl|CP064677.1_cds_2634,IVL04_13470
lcl|CP064677.1_cds_2636,IVL04_13480
lcl|CP064677.1_cds_2645,IVL04_13525
lcl|CP064677.1_cds_2647,IVL04_13540
lcl|CP064677.1_cds_2669,IVL04_13650
lcl|CP064677.1_cds_271,IVL04_01395
lcl|CP064677.1_cds_272,IVL04_01400
lcl|CP064677.1_cds_2837,IVL04_14530
lcl|CP064677.1_cds_2840,IVL04_14545
lcl|CP064677.1_cds_2842,IVL04_14555
lcl|CP064677.1_cds_2946,gspL
lcl|CP064677.1_cds_297,IVL04_01525
lcl|CP064677.1_cds_2976,IVL04_15240
lcl|CP064677.1_cds_299,IVL04_01535
lcl|CP064677.1_cds_300,IVL04_01540
lcl|CP064677.1_cds_3103,IVL04_15885
lcl|CP064677.1_cds_3104,IVL04_15890
lcl|CP064677.1_cds_3185,IVL04_16305
lcl|CP064677.1_cds_3187,IVL04_16315
lcl|CP064677.1_cds_3235,IVL04_16555
lcl|CP064677.1_cds_3386,IVL04_17345
lcl|CP064677.1_cds_3402,IVL04_17425
lcl|CP064677.1_cds_342,lacZ
lcl|CP064677.1_cds_343,IVL04_01755
lcl|CP064677.1_cds_3448,IVL04_17655
lcl|CP064677.1_cds_3465,IVL04_17740
lcl|CP064677.1_cds_348,mhpC
lcl|CP064677.1_cds_3495,bcsQ
lcl|CP064677.1_cds_350,mhpC
lcl|CP064677.1_cds_3546,IVL04_18155
lcl|CP064677.1_cds_3547,IVL04_18160
lcl|CP064677.1_cds_3560,IVL04_18225
lcl|CP064677.1_cds_362,IVL04_01850
lcl|CP064677.1_cds_364,IVL04_01860
lcl|CP064677.1_cds_3649,IVL04_18675
lcl|CP064677.1_cds_3650,IVL04_18680
lcl|CP064677.1_cds_372,IVL04_01900
lcl|CP064677.1_cds_3730,IVL04_19110
lcl|CP064677.1_cds_3738,IVL04_19150
lcl|CP064677.1_cds_3852,rhaD
lcl|CP064677.1_cds_391,IVL04_01995
lcl|CP064677.1_cds_3974,IVL04_20435
lcl|CP064677.1_cds_3983,IVL04_20480
lcl|CP064677.1_cds_4040,phnE
lcl|CP064677.1_cds_4142,IVL04_21295
lcl|CP064677.1_cds_4204,IVL04_21610
lcl|CP064677.1_cds_4206,IVL04_21620
lcl|CP064677.1_cds_4207,IVL04_21625
lcl|CP064677.1_cds_4213,IVL04_21655
lcl|CP064677.1_cds_4214,IVL04_21660
lcl|CP064677.1_cds_4216,IVL04_21670
lcl|CP064677.1_cds_4217,IVL04_21675
lcl|CP064677.1_cds_4226,IVL04_21720
lcl|CP064677.1_cds_4239,IVL04_21785
lcl|CP064677.1_cds_4240,IVL04_21790
lcl|CP064677.1_cds_4244,IVL04_21810
lcl|CP064677.1_cds_4277,IVL04_21975
lcl|CP064677.1_cds_4287,hsdR
lcl|CP064677.1_cds_4301,IVL04_22095
lcl|CP064677.1_cds_500,IVL04_02545
lcl|CP064677.1_cds_535,IVL04_02725
lcl|CP064677.1_cds_538,IVL04_02740
lcl|CP064677.1_cds_56,IVL04_00280
lcl|CP064677.1_cds_561,IVL04_02855
lcl|CP064677.1_cds_562,IVL04_02860
lcl|CP064677.1_cds_564,IVL04_02870
lcl|CP064677.1_cds_628,IVL04_03190
lcl|CP064677.1_cds_682,IVL04_03495
lcl|CP064677.1_cds_683,IVL04_03500
lcl|CP064677.1_cds_696,IVL04_03565
lcl|CP064677.1_cds_698,IVL04_03575
lcl|CP064677.1_cds_699,IVL04_03580
lcl|CP064677.1_cds_700,IVL04_03585
lcl|CP064677.1_cds_858,IVL04_04415
lcl|CP064677.1_cds_976,IVL04_05015
lcl|CP064677.1_cds_QPD34853.1_2221,atoD
lcl|CP064677.1_cds_QPD34854.1_2222,atoA
lcl|CP064677.1_cds_QPD34855.1_2223,IVL04_11355
lcl|CP064677.1_cds_QPD34856.1_2224,atoB
lcl|CP064677.1_cds_QPD34857.1_2225,IVL04_11365
lcl|CP064677.1_cds_QPD34858.1_2226,IVL04_11370
lcl|CP064677.1_cds_QPD34859.1_2228,IVL04_11380
lcl|CP064677.1_cds_QPD34860.1_2229,IVL04_11385
lcl|CP064677.1_cds_QPD34861.1_2230,gyrA
lcl|CP064677.1_cds_QPD34862.1_2232,yfaL
lcl|CP064677.1_cds_QPD34863.1_2233,nrdA
lcl|CP064677.1_cds_QPD34864.1_2234,nrdB
lcl|CP064677.1_cds_QPD34865.1_2235,yfaE
lcl|CP064677.1_cds_QPD34866.1_2236,inaA
lcl|CP064677.1_cds_QPD34867.1_2238,glpQ
lcl|CP064677.1_cds_QPD34868.1_2239,glpT
lcl|CP064677.1_cds_QPD34869.1_2240,glpA
lcl|CP064677.1_cds_QPD34870.1_2241,glpB
lcl|CP064677.1_cds_QPD34871.1_2242,glpC
lcl|CP064677.1_cds_QPD34872.1_2243,IVL04_11455
lcl|CP064677.1_cds_QPD34873.1_2244,IVL04_11460
lcl|CP064677.1_cds_QPD34874.1_2245,yfaU
lcl|CP064677.1_cds_QPD34875.1_2246,IVL04_11470
lcl|CP064677.1_cds_QPD34876.1_2247,rhmD
lcl|CP064677.1_cds_QPD34877.1_2248,IVL04_11480
lcl|CP064677.1_cds_QPD34878.1_2249,IVL04_11485
lcl|CP064677.1_cds_QPD34879.1_2250,IVL04_11490
lcl|CP064677.1_cds_QPD34880.1_2251,nudI
lcl|CP064677.1_cds_QPD34881.1_2252,IVL04_11500
lcl|CP064677.1_cds_QPD34882.1_2253,arnB
lcl|CP064677.1_cds_QPD34883.1_2254,arnC
lcl|CP064677.1_cds_QPD34884.1_2255,arnA
lcl|CP064677.1_cds_QPD34885.1_2256,IVL04_11520
lcl|CP064677.1_cds_QPD34886.1_2257,arnT
lcl|CP064677.1_cds_QPD34887.1_2258,arnE
lcl|CP064677.1_cds_QPD34888.1_2259,arnF
lcl|CP064677.1_cds_QPD34889.1_2260,pmrD
lcl|CP064677.1_cds_QPD34890.1_2261,menE
lcl|CP064677.1_cds_QPD34891.1_2262,menC
